label,DBID1,DBID2
1,DB00572,DB00761
0,DB00284,DB02701
1,DB01250,DB08947
0,DB00862,DB12130
0,DB06210,DB11730
0,DB00555,DB00748
0,DB00867,DB00959
1,DB00108,DB15044
0,DB00543,DB00692
0,DB00533,DB00912
0,DB00792,DB12404
0,DB00541,DB14222
0,DB09074,DB11003
0,DB09049,DB12035
0,DB04861,DB06663
0,DB01211,DB13139
0,DB00427,DB00906
1,DB09065,DB12147
1,DB12371,DB13007
0,DB00317,DB00564
1,DB01097,DB09029
0,DB00370,DB00916
0,DB00372,DB01100
1,DB00321,DB12371
0,DB01246,DB09293
0,DB00864,DB08816
0,DB01021,DB06724
0,DB01114,DB08897
0,DB00243,DB00983
0,DB00771,DB01176
0,DB01274,DB06825
0,DB00598,DB09112
0,DB01191,DB11640
0,DB00039,DB06810
0,DB00247,DB06589
1,DB06273,DB10343
0,DB00284,DB00816
0,DB01406,DB08907
0,DB00047,DB14751
1,DB00757,DB01254
0,DB00928,DB10429
0,DB00951,DB01016
1,DB00188,DB00363
0,DB00912,DB04946
0,DB01307,DB06343
1,DB00741,DB11817
0,DB00004,DB00495
1,DB00286,DB08889
0,DB00320,DB11979
0,DB00747,DB11315
0,DB00176,DB12267
0,DB00175,DB00446
1,DB08827,DB11363
0,DB00095,DB01280
0,DB00851,DB16627
0,DB00207,DB00983
1,DB00741,DB01118
0,DB00662,DB00794
0,DB00943,DB01248
0,DB00813,DB00864
0,DB01016,DB09038
0,DB01246,DB13928
0,DB01254,DB12978
1,DB01069,DB09083
0,DB01619,DB04946
1,DB00014,DB09063
0,DB06777,DB08870
1,DB00307,DB01261
0,DB00060,DB00263
1,DB00181,DB00956
0,DB00806,DB06207
0,DB00370,DB12267
0,DB00564,DB11569
1,DB04932,DB06779
1,DB00608,DB00656
0,DB00196,DB00976
0,DB01309,DB08912
1,DB00580,DB01609
0,DB00557,DB09076
0,DB08907,DB09112
0,DB00602,DB01167
0,DB01021,DB01142
0,DB01324,DB09045
0,DB01175,DB08912
0,DB00331,DB15305
0,DB00338,DB01211
1,DB00370,DB01156
0,DB00570,DB13890
0,DB00448,DB12267
1,DB09083,DB13074
0,DB00451,DB01303
0,DB00224,DB00443
0,DB05773,DB08871
0,DB04861,DB08909
0,DB00997,DB04953
0,DB00871,DB01276
0,DB00281,DB11979
0,DB01105,DB03904
0,DB00619,DB01132
0,DB01255,DB11837
1,DB00067,DB01113
0,DB00105,DB14783
0,DB00902,DB01173
0,DB00213,DB11209
0,DB00026,DB06769
0,DB08875,DB09026
0,DB00637,DB01137
0,DB00213,DB06448
0,DB00741,DB00784
0,DB00694,DB01023
0,DB01222,DB09037
1,DB06372,DB11767
0,DB01167,DB01410
0,DB00590,DB00741
0,DB01201,DB05676
1,DB05273,DB06810
0,DB00404,DB01223
0,DB00334,DB01067
0,DB00737,DB00933
1,DB00388,DB12612
1,DB00604,DB00656
1,DB01075,DB09039
0,DB01175,DB09030
0,DB06168,DB09237
0,DB01203,DB01246
1,DB00338,DB01254
0,DB01307,DB08907
1,DB00978,DB01156
0,DB00095,DB01033
0,DB00624,DB00635
0,DB00571,DB13142
0,DB00495,DB11793
0,DB01320,DB09122
1,DB01030,DB15091
0,DB00048,DB00374
0,DB04865,DB11730
1,DB00780,DB11130
1,DB04868,DB11853
0,DB00746,DB14550
0,DB11796,DB12141
0,DB00346,DB01291
0,DB00356,DB00748
0,DB01324,DB09268
0,DB00283,DB00599
0,DB09488,DB11601
0,DB00641,DB01432
0,DB00619,DB01403
0,DB05246,DB06282
1,DB00741,DB12371
1,DB12267,DB12500
0,DB01197,DB01276
1,DB04948,DB14568
0,DB00472,DB00839
0,DB00898,DB01309
0,DB00372,DB06207
0,DB00715,DB12500
1,DB00827,DB01309
0,DB00353,DB01110
0,DB00252,DB00451
1,DB01395,DB06206
0,DB00020,DB00987
0,DB00977,DB04951
0,DB00365,DB00673
0,DB00283,DB00423
0,DB01014,DB01044
1,DB00218,DB01156
0,DB01069,DB01495
1,DB06228,DB14713
1,DB00290,DB12371
1,DB00207,DB12612
0,DB01009,DB01191
0,DB00191,DB08907
0,DB00091,DB08816
1,DB00307,DB08901
0,DB09073,DB14219
0,DB00854,DB01142
0,DB00060,DB00431
0,DB00252,DB11596
0,DB00703,DB01249
0,DB00904,DB06616
0,DB00564,DB00912
0,DB01235,DB08938
0,DB00470,DB00708
1,DB00014,DB00280
0,DB00443,DB00983
1,DB00063,DB01609
0,DB00816,DB05889
0,DB01124,DB01201
0,DB00748,DB08883
0,DB00508,DB00692
0,DB00763,DB08903
0,DB01124,DB01144
0,DB00559,DB08816
1,DB00065,DB08935
0,DB09122,DB15762
0,DB00322,DB00467
0,DB01262,DB10446
0,DB00541,DB04865
0,DB00679,DB01309
1,DB01151,DB01168
0,DB06119,DB09570
0,DB01142,DB11978
0,DB00903,DB01050
0,DB00968,DB08870
1,DB08877,DB09053
0,DB01181,DB01242
0,DB00637,DB12147
1,DB00322,DB08880
0,DB00060,DB00262
0,DB00271,DB01359
0,DB09074,DB09330
1,DB00543,DB08947
0,DB00401,DB00860
1,DB00397,DB01577
0,DB00981,DB01173
0,DB00312,DB01168
1,DB00513,DB11330
1,DB06769,DB10316
0,DB00106,DB00344
0,DB00899,DB00956
0,DB01247,DB01619
1,DB01320,DB09030
1,DB00978,DB01067
0,DB00691,DB00741
0,DB00541,DB06717
0,DB00451,DB09293
0,DB05294,DB11113
0,DB01089,DB09564
0,DB00818,DB09280
0,DB00372,DB08815
0,DB06718,DB14761
0,DB00014,DB04824
1,DB00939,DB06779
0,DB00762,DB16594
0,DB00104,DB00412
0,DB00398,DB01238
0,DB00742,DB01018
0,DB00575,DB00856
0,DB00581,DB11978
0,DB00244,DB00526
0,DB01176,DB06283
0,DB00052,DB00904
1,DB00361,DB08904
0,DB00091,DB08909
0,DB00433,DB00864
0,DB01551,DB08816
0,DB00661,DB06663
0,DB00030,DB00850
0,DB00352,DB08916
0,DB00370,DB12612
1,DB01041,DB08904
0,DB00418,DB00762
1,DB00757,DB00774
0,DB00962,DB01105
1,DB01281,DB06674
1,DB00421,DB12364
1,DB00480,DB08827
0,DB00361,DB11294
0,DB00529,DB11057
1,DB08827,DB08865
0,DB00541,DB09074
0,DB00275,DB11718
0,DB00542,DB01261
1,DB00331,DB00898
1,DB00604,DB09063
0,DB00695,DB00762
0,DB00960,DB00986
0,DB01110,DB01395
0,DB00938,DB01128
0,DB01284,DB09082
0,DB00685,DB08938
0,DB01351,DB12483
0,DB00937,DB08882
0,DB01394,DB09077
0,DB08913,DB09073
0,DB00322,DB04865
0,DB00897,DB00898
0,DB01176,DB04946
0,DB05294,DB12095
0,DB00758,DB01104
0,DB00662,DB01186
0,DB04865,DB11569
0,DB00431,DB00734
0,DB00969,DB01182
0,DB11760,DB14444
1,DB00695,DB00855
0,DB01291,DB09082
0,DB01024,DB01223
1,DB00108,DB09036
0,DB00214,DB00515
1,DB06603,DB06605
0,DB00692,DB12612
0,DB00247,DB00357
0,DB00468,DB06699
0,DB00030,DB00717
0,DB00060,DB00987
0,DB00842,DB01619
0,DB06589,DB12267
1,DB00619,DB00813
0,DB00898,DB06201
0,DB00665,DB00734
0,DB01105,DB11730
0,DB00361,DB14975
0,DB00987,DB01004
0,DB01133,DB11248
0,DB00956,DB11823
0,DB00945,DB00966
0,DB00943,DB09054
0,DB00052,DB09048
0,DB08820,DB15822
0,DB00852,DB01367
0,DB00350,DB11921
0,DB00209,DB00836
0,DB00283,DB00754
0,DB00318,DB00594
1,DB00908,DB01026
0,DB00864,DB13139
0,DB00959,DB12500
0,DB00060,DB00564
0,DB01377,DB01576
0,DB06210,DB11189
0,DB00091,DB12141
0,DB00444,DB01059
0,DB00295,DB00986
0,DB01246,DB09401
0,DB00277,DB00349
1,DB00731,DB01155
0,DB09053,DB12457
0,DB06203,DB13007
0,DB00908,DB09049
1,DB00343,DB12364
0,DB00051,DB01115
0,DB01026,DB08828
0,DB00672,DB06825
1,DB06589,DB08875
0,DB00619,DB12483
0,DB00570,DB14723
0,DB01190,DB11901
1,DB08895,DB14711
0,DB00242,DB00977
0,DB00398,DB00418
0,DB00969,DB14240
0,DB00427,DB00476
0,DB01065,DB01181
0,DB00432,DB09498
0,DB09498,DB13007
0,DB00492,DB06779
0,DB00242,DB00603
0,DB00196,DB01036
0,DB06723,DB09063
0,DB00889,DB06636
1,DB00280,DB06788
0,DB01015,DB01211
0,DB00960,DB09156
0,DB00973,DB11901
0,DB00008,DB08889
1,DB00163,DB09053
0,DB00977,DB14360
1,DB00694,DB14568
0,DB09074,DB10429
1,DB00679,DB06825
0,DB00731,DB00784
0,DB12865,DB14012
1,DB00008,DB00363
0,DB00529,DB00694
0,DB00393,DB08816
0,DB00932,DB09481
1,DB00908,DB01069
0,DB00902,DB01037
1,DB00204,DB00738
0,DB00601,DB06772
0,DB01218,DB06287
0,DB06777,DB08903
0,DB00867,DB01410
0,DB00700,DB12612
0,DB00937,DB01142
0,DB00041,DB00623
1,DB00582,DB12483
0,DB00458,DB01409
0,DB00620,DB00903
0,DB00295,DB04843
0,DB00468,DB01155
0,DB00782,DB01085
0,DB00307,DB08820
0,DB00871,DB04896
0,DB00635,DB11652
1,DB01041,DB10276
0,DB00662,DB00714
0,DB00344,DB04843
0,DB08886,DB09054
0,DB00628,DB00692
0,DB09043,DB09080
0,DB00350,DB00802
0,DB00989,DB11363
0,DB04953,DB06605
0,DB00482,DB00758
1,DB00307,DB08882
0,DB01381,DB08899
0,DB00777,DB01364
0,DB00533,DB00839
0,DB00531,DB10429
0,DB00559,DB01026
0,DB00030,DB01276
0,DB00201,DB00268
0,DB00176,DB00468
0,DB01069,DB06176
0,DB00257,DB11952
0,DB00549,DB08870
0,DB00244,DB12615
0,DB00290,DB06688
0,DB00648,DB09389
0,DB00095,DB00997
0,DB05679,DB06616
0,DB00211,DB00397
0,DB01181,DB15465
0,DB01278,DB14730
0,DB00783,DB01223
0,DB01177,DB09074
1,DB01254,DB10315
0,DB00444,DB00467
0,DB05239,DB09027
0,DB00047,DB00367
0,DB09054,DB10300
1,DB00586,DB13886
0,DB12612,DB16646
0,DB10446,DB11714
1,DB00526,DB01100
0,DB00818,DB08899
0,DB01151,DB01211
1,DB00601,DB08895
0,DB00246,DB00927
0,DB08916,DB13125
0,DB00398,DB00976
1,DB08827,DB11979
0,DB00801,DB06282
0,DB00912,DB11652
0,DB09031,DB09389
0,DB08935,DB14222
0,DB00284,DB10532
0,DB00738,DB11901
0,DB06674,DB11989
0,DB00197,DB00402
0,DB00318,DB01151
0,DB00969,DB13179
1,DB00107,DB00908
1,DB01024,DB09389
0,DB00726,DB12245
0,DB00014,DB09082
0,DB00068,DB00766
0,DB00041,DB09061
0,DB00502,DB00804
0,DB00541,DB14762
0,DB00541,DB00682
1,DB01323,DB05812
0,DB05039,DB12010
0,DB01136,DB01234
0,DB05039,DB06654
0,DB00087,DB00098
0,DB00734,DB06282
0,DB01367,DB01501
1,DB00242,DB00631
0,DB00439,DB01128
0,DB00078,DB11988
1,DB11718,DB11730
0,DB00307,DB14240
0,DB00476,DB08881
1,DB00215,DB06788
0,DB01259,DB09026
1,DB09075,DB15035
1,DB01395,DB08912
1,DB00604,DB00608
0,DB01125,DB01234
0,DB00486,DB01148
0,DB00762,DB01764
0,DB01284,DB11640
