DBID1,DBID2,DBKEY-pair,label
DB01048,DB09061,DB01048-DB09061,1
DB01048,DB01563,DB01048-DB01563,1
DB01048,DB08827,DB01048-DB08827,1
DB01048,DB12978,DB01048-DB12978,1
DB01048,DB14761,DB01048-DB14761,1
DB01048,DB08931,DB01048-DB08931,1
DB11932,DB12015,DB11932-DB12015,1
DB11932,DB15233,DB11932-DB15233,1
DB11932,DB12267,DB11932-DB12267,1
DB11932,DB12301,DB11932-DB12301,1
DB11932,DB12500,DB11932-DB12500,1
DB11932,DB13867,DB11932-DB13867,1
DB11932,DB12141,DB11932-DB12141,1
DB11932,DB11978,DB11932-DB11978,1
DB11932,DB11951,DB11932-DB11951,1
DB11932,DB14881,DB11932-DB14881,1
DB11932,DB15102,DB11932-DB15102,1
DB11932,DB12978,DB11932-DB12978,1
DB11932,DB12457,DB11932-DB12457,1
DB11932,DB14840,DB11932-DB14840,1
DB11932,DB12332,DB11932-DB12332,1
DB11932,DB15685,DB11932-DB15685,1
DB11932,DB12371,DB11932-DB12371,1
DB11932,DB12887,DB11932-DB12887,1
DB11932,DB13179,DB11932-DB13179,1
DB11932,DB15328,DB11932-DB15328,1
DB11932,DB15091,DB11932-DB15091,1
DB11932,DB14975,DB11932-DB14975,1
DB11932,DB15035,DB11932-DB15035,1
DB05812,DB11932,DB05812-DB11932,1
DB11703,DB11932,DB11703-DB11932,1
DB01193,DB06288,DB01193-DB06288,1
DB01193,DB01351,DB01193-DB01351,1
DB01193,DB01238,DB01193-DB01238,1
DB01193,DB06237,DB01193-DB06237,1
DB01193,DB01244,DB01193-DB01244,1
DB01193,DB09128,DB01193-DB09128,1
DB01193,DB01200,DB01193-DB01200,1
DB01193,DB01563,DB01193-DB01563,1
DB01193,DB14006,DB01193-DB14006,1
DB01193,DB01242,DB01193-DB01242,1
DB01193,DB01452,DB01193-DB01452,1
DB01193,DB01495,DB01193-DB01495,1
DB01193,DB01396,DB01193-DB01396,1
DB01193,DB01551,DB01193-DB01551,1
DB01193,DB01253,DB01193-DB01253,1
DB01193,DB01195,DB01193-DB01195,1
DB01193,DB04946,DB01193-DB04946,1
DB01193,DB01247,DB01193-DB01247,1
DB01193,DB09083,DB01193-DB09083,1
DB01193,DB06218,DB01193-DB06218,1
DB01193,DB11732,DB01193-DB11732,1
DB01193,DB09237,DB01193-DB09237,1
DB01193,DB09351,DB01193-DB09351,1
DB01193,DB01210,DB01193-DB01210,1
DB01193,DB01235,DB01193-DB01235,1
DB01193,DB01583,DB01193-DB01583,1
DB01193,DB14509,DB01193-DB14509,1
DB01193,DB04948,DB01193-DB04948,1
DB01193,DB06077,DB01193-DB06077,1
DB01193,DB08815,DB01193-DB08815,1
DB01193,DB01365,DB01193-DB01365,1
DB01193,DB01403,DB01193-DB01403,1
DB01193,DB01214,DB01193-DB01214,1
DB01193,DB01336,DB01193-DB01336,1
DB01193,DB01226,DB01193-DB01226,1
DB01193,DB01618,DB01193-DB01618,1
DB01193,DB14881,DB01193-DB14881,1
DB01193,DB01267,DB01193-DB01267,1
DB01193,DB01337,DB01193-DB01337,1
DB01193,DB09117,DB01193-DB09117,1
DB01193,DB01338,DB01193-DB01338,1
DB01193,DB01324,DB01193-DB01324,1
DB01193,DB01589,DB01193-DB01589,1
DB01193,DB01224,DB01193-DB01224,1
DB01193,DB04834,DB01193-DB04834,1
DB01193,DB01367,DB01193-DB01367,1
DB01193,DB08931,DB01193-DB08931,1
DB01193,DB06654,DB01193-DB06654,1
DB01193,DB01399,DB01193-DB01399,1
DB01193,DB01232,DB01193-DB01232,1
DB01193,DB06207,DB01193-DB06207,1
DB01193,DB09072,DB01193-DB09072,1
DB01193,DB09118,DB01193-DB09118,1
DB01193,DB09071,DB01193-DB09071,1
DB01193,DB04844,DB01193-DB04844,1
DB01193,DB01623,DB01193-DB01623,1
DB01193,DB01199,DB01193-DB01199,1
DB01193,DB01339,DB01193-DB01339,1
DB01193,DB11180,DB01193-DB11180,1
DB01193,DB09316,DB01193-DB09316,1
DB00316,DB01351,DB00316-DB01351,1
DB00316,DB01125,DB00316-DB01125,1
DB00316,DB08903,DB00316-DB08903,1
DB00316,DB01086,DB00316-DB01086,1
DB00316,DB00810,DB00316-DB00810,1
DB00316,DB09061,DB00316-DB09061,1
DB00316,DB00564,DB00316-DB00564,1
DB00316,DB00527,DB00316-DB00527,1
DB00316,DB00907,DB00316-DB00907,1
DB00316,DB00907,DB00316-DB00907,1
DB00316,DB00496,DB00316-DB00496,1
DB00316,DB00625,DB00316-DB00625,1
DB00316,DB00754,DB00316-DB00754,1
DB00316,DB01039,DB00316-DB01039,1
DB00316,DB01148,DB00316-DB01148,1
DB00316,DB01320,DB00316-DB01320,1
DB00316,DB00951,DB00316-DB00951,1
DB00316,DB08827,DB00316-DB08827,1
DB00316,DB00532,DB00316-DB00532,1
DB00316,DB01357,DB00316-DB01357,1
DB00316,DB00474,DB00316-DB00474,1
DB00316,DB00849,DB00316-DB00849,1
DB00316,DB04938,DB00316-DB04938,1
DB00316,DB00842,DB00316-DB00842,1
DB00316,DB01062,DB00316-DB01062,1
DB00316,DB12978,DB00316-DB12978,1
DB00316,DB01174,DB00316-DB01174,1
DB00316,DB11642,DB00316-DB11642,1
DB00316,DB00750,DB00316-DB00750,1
DB00316,DB00750,DB00316-DB00750,1
DB00316,DB00794,DB00316-DB00794,1
DB00316,DB01032,DB00316-DB01032,1
DB00316,DB00387,DB00316-DB00387,1
DB00316,DB00571,DB00316-DB00571,1
DB00316,DB14761,DB00316-DB14761,1
DB00316,DB01045,DB00316-DB01045,1
DB00316,DB00418,DB00316-DB00418,1
DB00316,DB01591,DB00316-DB01591,1
DB00316,DB01138,DB00316-DB01138,1
DB00316,DB11644,DB00316-DB11644,1
DB00316,DB09085,DB00316-DB09085,1
DB00316,DB00599,DB00316-DB00599,1
DB00316,DB01036,DB00316-DB01036,1
DB00316,DB00376,DB00316-DB00376,1
DB00316,DB00495,DB00316-DB00495,1
DB00316,DB00892,DB00316-DB00892,1
DB00316,DB00807,DB00316-DB00807,1
DB00316,DB09085,DB00316-DB09085,1
DB00819,DB01118,DB00819-DB01118,1
DB00819,DB06288,DB00819-DB06288,1
DB00819,DB01274,DB00819-DB01274,1
DB00819,DB06237,DB00819-DB06237,1
DB00819,DB01197,DB00819-DB01197,1
DB00819,DB14006,DB00819-DB14006,1
DB00819,DB01242,DB00819-DB01242,1
DB00819,DB01068,DB00819-DB01068,1
DB00819,DB01151,DB00819-DB01151,1
DB00819,DB06700,DB00819-DB06700,1
DB00819,DB00829,DB00819-DB00829,1
DB00819,DB01144,DB00819-DB01144,1
DB00819,DB01396,DB00819-DB01396,1
DB00819,DB04855,DB00819-DB04855,1
DB00819,DB01175,DB00819-DB01175,1
DB00819,DB14575,DB00819-DB14575,1
DB00819,DB01215,DB00819-DB01215,1
DB00819,DB01018,DB00819-DB01018,1
DB00819,DB01227,DB00819-DB01227,1
DB00819,DB01235,DB00819-DB01235,1
DB00819,DB08918,DB00819-DB08918,1
DB00819,DB13139,DB00819-DB13139,1
DB00819,DB14509,DB00819-DB14509,1
DB00819,DB04948,DB00819-DB04948,1
DB00819,DB01043,DB00819-DB01043,1
DB00819,DB06799,DB00819-DB06799,1
DB00819,DB00992,DB00819-DB00992,1
DB00819,DB01226,DB00819-DB01226,1
DB00819,DB01149,DB00819-DB01149,1
DB00819,DB00842,DB00819-DB00842,1
DB00819,DB01267,DB00819-DB01267,1
DB00819,DB01337,DB00819-DB01337,1
DB00819,DB01100,DB00819-DB01100,1
DB00819,DB01589,DB00819-DB01589,1
DB00819,DB00881,DB00819-DB00881,1
DB00819,DB00908,DB00819-DB00908,1
DB00819,DB12404,DB00819-DB12404,1
DB00819,DB00936,DB00819-DB00936,1
DB00819,DB01399,DB00819-DB01399,1
DB00819,DB01104,DB00819-DB01104,1
DB00819,DB00820,DB00819-DB00820,1
DB00819,DB00897,DB00819-DB00897,1
DB00819,DB00831,DB00819-DB00831,1
DB00819,DB00862,DB00819-DB00862,1
DB00819,DB01339,DB00819-DB01339,1
DB00819,DB06684,DB00819-DB06684,1
DB00819,DB09068,DB00819-DB09068,1
DB00819,DB00909,DB00819-DB00909,1
DB00414,DB00855,DB00414-DB00855,1
DB00414,DB13867,DB00414-DB13867,1
DB00414,DB00992,DB00414-DB00992,1
DB00414,DB11672,DB00414-DB11672,1
DB00414,DB11750,DB00414-DB11750,1
DB00414,DB00838,DB00414-DB00838,1
DB00414,DB01260,DB00414-DB01260,1
DB00414,DB00547,DB00414-DB00547,1
DB00414,DB01047,DB00414-DB01047,1
DB00414,DB00846,DB00414-DB00846,1
DB00414,DB06786,DB00414-DB06786,1
DB00414,DB01130,DB00414-DB01130,1
DB00414,DB00596,DB00414-DB00596,1
DB03128,DB09128,DB03128-DB09128,1
DB03128,DB06077,DB03128-DB06077,1
DB03128,DB06802,DB03128-DB06802,1
DB03128,DB11160,DB03128-DB11160,1
DB00945,DB01194,DB00945-DB01194,1
DB00945,DB07352,DB00945-DB07352,1
