auc,aupr,acc,f-fold,frs,train_epoch,divide_rs,model_name
0.969571644,0.918437546,0.934831461,1,0,200,0,attLSTM
0.970528419,0.920289588,0.935589039,2,0,200,0,attLSTM
0.969052026,0.915194394,0.932263186,3,0,200,0,attLSTM
0.970587077,0.920732415,0.93890137,4,0,200,0,attLSTM
0.969679289,0.918559241,0.934682897,5,0,200,0,attLSTM
0.970364809,0.918343068,0.934825717,1,0,200,1,attLSTM
0.971429257,0.921249093,0.93622831,2,0,200,1,attLSTM
0.97169982,0.923781976,0.936489048,3,0,200,1,attLSTM
0.971044993,0.922248342,0.934711691,4,0,200,1,attLSTM
0.970441578,0.919953638,0.935647495,5,0,200,1,attLSTM
0.968103953,0.912243882,0.932040546,1,0,200,2,attLSTM
0.971557401,0.923485377,0.937227243,2,0,200,2,attLSTM
0.970551153,0.92123863,0.936639605,3,0,200,2,attLSTM
0.972004315,0.920656607,0.935306293,4,0,200,2,attLSTM
0.972155523,0.926388221,0.935985549,5,0,200,2,attLSTM
0.970369528,0.918476567,0.934755775,1,0,200,3,attLSTM
0.970484127,0.92183299,0.934265056,2,0,200,3,attLSTM
0.971603909,0.92012656,0.936990527,3,0,200,3,attLSTM
0.96851088,0.916784194,0.933979727,4,0,200,3,attLSTM
0.969834805,0.916123274,0.93354779,5,0,200,3,attLSTM
0.970255048,0.920116264,0.936183341,1,0,200,4,attLSTM
0.969311472,0.919622807,0.934160011,2,0,200,4,attLSTM
0.970351812,0.923814503,0.935705478,3,0,200,4,attLSTM
0.96930958,0.916845445,0.935037461,4,0,200,4,attLSTM
0.97156288,0.918612746,0.936241463,5,0,200,4,attLSTM
