DBID1,DBID2,label
DB01108,DB00381,0
DB01108,DB00381,0
DB01108,DB01611,0
DB01108,DB01097,0
DB00381,DB01611,0
DB00381,DB01097,0
DB01611,DB01097,0
DB00898,DB00898,0
DB00999,DB09338,0
DB00999,DB01108,0
DB00999,DB00783,0
DB09338,DB01108,0
DB09338,DB00783,0
DB01108,DB00783,0
DB01110,DB00381,1
DB00381,DB00518,1
DB00898,DB00898,0
DB00518,DB00518,0
DB00759,DB00759,0
DB00982,DB00982,0
DB00640,DB00381,0
DB00640,DB01110,0
DB00381,DB01110,0
DB00640,DB00640,0
DB01438,DB00404,1
DB00472,DB09536,0
DB00472,DB00781,0
DB09536,DB00781,0
DB01234,DB00819,0
DB01058,DB01058,0
DB01058,DB00819,0
DB01058,DB00819,1
DB11079,DB00683,0
DB00381,DB00518,0
DB00736,DB01511,0
DB00899,DB00630,1
DB00518,DB00683,1
DB00518,DB01086,1
DB00683,DB01086,0
DB01086,DB00518,1
DB01086,DB00518,0
DB01086,DB00518,0
DB00518,DB00518,0
DB00518,DB00518,0
DB00518,DB00518,0
DB00518,DB00518,0
DB00518,DB00518,0
DB01029,DB00518,1
DB00518,DB00518,0
DB00518,DB00518,0
DB00523,DB00548,1
DB00495,DB00781,0
DB00495,DB00523,0
DB00781,DB00523,0
DB00266,DB09154,0
DB00266,DB00266,0
DB09154,DB00266,0
DB00381,DB00381,0
DB00319,DB01060,0
DB00381,DB00531,0
DB00381,DB00381,0
DB00531,DB00381,0
DB00531,DB01168,0
DB00531,DB00888,0
DB01168,DB00888,0
DB00672,DB00672,0
DB00548,DB01171,0
DB00548,DB00918,0
DB01171,DB00918,1
DB00742,DB00918,0
DB00918,DB00918,0
DB00918,DB00918,0
DB00918,DB00918,0
DB00918,DB00918,0
DB00918,DB00918,0
DB00518,DB00518,0
DB00543,DB00518,1
DB00518,DB00781,1
DB00518,DB00381,0
DB00404,DB00555,1
DB00404,DB00548,1
DB00404,DB00898,1
DB00555,DB00548,0
DB00555,DB00898,0
